i miss avg t_all t_grey t_g t_blur t_sob t_max t_thresh t_hys
261 1.16491 0 4.8625 0.008192 0.006144 0.006144 0.006144 0.006144 0.006144 0.004096
262 1.14284 0 5.0984 0.007168 0.006144 0.005952 0.006048 0.005216 0.006144 0.004896
263 1.1582 0 4.9714 0.008192 0.00608 0.006144 0.006144 0.006144 0.006144 0.004256
264 1.15677 0 4.8597 0.007168 0.006144 0.006144 0.006144 0.005344 0.004288 0.003968
265 1.14686 0 4.8882 0.008192 0.005376 0.006144 0.006144 0.006144 0.006144 0.004096
266 1.05378 0 4.7183 0.008192 0.00624 0.006144 0.006144 0.006144 0.006144 0.004992
267 1.13209 0 4.6315 0.008192 0.006144 0.00608 0.006144 0.006144 0.00512 0.004096
268 1.12526 0 4.9895 0.008064 0.006144 0.00512 0.006144 0.006144 0.006112 0.004096
269 1.16205 0 4.5063 0.008192 0.006912 0.006048 0.005248 0.006144 0.006144 0.006144
270 1.14937 0 4.9967 0.00816 0.00608 0.00528 0.00608 0.005152 0.006144 0.00416
271 1.10662 0 4.6524 0.008192 0.006144 0.005888 0.006144 0.006144 0.00608 0.004096
272 1.11024 0 4.8415 0.006144 0.00512 0.00528 0.006048 0.006144 0.006144 0.004096
273 1.16434 0 4.6535 0.006144 0.006048 0.006144 0.006144 0.006144 0.006144 0.004224
274 1.13127 0 4.9176 0.008192 0.005376 0.00528 0.006976 0.006144 0.00608 0.004096
275 1.13991 0 4.7649 0.006144 0.006112 0.006144 0.006112 0.00512 0.006144 0.005024
276 1.13793 0 5.1846 0.007104 0.006144 0.006144 0.006048 0.00512 0.00512 0.004928
277 1.07967 0 5.1093 0.009216 0.00624 0.005344 0.007072 0.006144 0.00608 0.005888
278 1.15239 0 4.8718 0.008192 0.006144 0.005376 0.005344 0.006144 0.006112 0.004096
279 1.11158 0 4.4716 0.007168 0.006144 0.00512 0.006144 0.006144 0.006144 0.004096
280 1.20527 0 5.3061 0.008128 0.006912 0.00512 0.006144 0.00512 0.006144 0.004096
